Name                  	Team 	Pos 	G  	A   	P   	TeamModifier 	Modifier
Casey Mittelstadt     	COL  	F   	18 	 39 	 57 	      1.0450 	      60
Jonathan Drouin       	COL  	F   	19 	 37 	 56 	      1.0450 	      59
Evander Kane          	EDM  	F   	24 	 20 	 44 	      1.3300 	      59
Stefan Noesen         	CAR  	F   	14 	 23 	 37 	      1.5550 	      58
Jack Roslovic         	NYR  	F   	 9 	 22 	 31 	      1.8690 	      58
William Karlsson      	VGK  	F   	30 	 30 	 60 	      0.9420 	      57
Mason Marchment       	DAL  	F   	22 	 31 	 53 	      1.0670 	      57
Conor Garland         	VAN  	F   	20 	 27 	 47 	      1.2170 	      57
Steven Stamkos        	TBL  	F   	40 	 41 	 81 	      0.6910 	      56
Gustav Nyquist        	NSH  	F   	23 	 52 	 75 	      0.7510 	      56
Alexander Wennberg    	NYR  	F   	10 	 20 	 30 	      1.8690 	      56
Valeri Nichushkin     	COL  	F   	28 	 25 	 53 	      1.0450 	      55
Tyler Seguin          	DAL  	F   	25 	 27 	 52 	      1.0670 	      55
Warren Foegele        	EDM  	F   	20 	 21 	 41 	      1.3300 	      55
Elias Lindholm        	VAN  	F   	15 	 29 	 44 	      1.2170 	      54
Brandon Hagel         	TBL  	F   	26 	 49 	 75 	      0.6910 	      52
Ryan O'Reilly         	NSH  	F   	26 	 43 	 69 	      0.7510 	      52
Max Domi              	TOR  	F   	 9 	 38 	 47 	      1.1020 	      52
Mark Scheifele        	WPG  	F   	25 	 47 	 72 	      0.7140 	      51
Brad Marchand         	BOS  	F   	29 	 38 	 67 	      0.7490 	      50
Mark Stone            	VGK  	F   	16 	 37 	 53 	      0.9420 	      50
Sam Bennett           	FLA  	F   	20 	 21 	 41 	      1.2210 	      50
Jordan Martinook      	CAR  	F   	14 	 18 	 32 	      1.5550 	      50
Jimmy Vesey           	NYR  	F   	13 	 13 	 26 	      1.8690 	      49
Chandler Stephenson   	VGK  	F   	16 	 35 	 51 	      0.9420 	      48
Evan Rodrigues        	FLA  	F   	12 	 27 	 39 	      1.2210 	      48
Tyler Bertuzzi        	TOR  	F   	21 	 22 	 43 	      1.1020 	      47
Jordan Staal          	CAR  	F   	10 	 20 	 30 	      1.5550 	      47
Charlie Coyle         	BOS  	F   	25 	 35 	 60 	      0.7490 	      45
Kyle Connor           	WPG  	F   	34 	 27 	 61 	      0.7140 	      44
Nikolaj Ehlers        	WPG  	F   	25 	 36 	 61 	      0.7140 	      44
Pavel Zacha           	BOS  	F   	21 	 38 	 59 	      0.7490 	      44
Nils Höglander        	VAN  	F   	24 	 12 	 36 	      1.2170 	      44
Anton Lundell         	FLA  	F   	13 	 22 	 35 	      1.2210 	      43
Sean Monahan          	WPG  	F   	26 	 33 	 59 	      0.7140 	      42
Ivan Barbashev        	VGK  	F   	19 	 26 	 45 	      0.9420 	      42
Ross Colton           	COL  	F   	17 	 23 	 40 	      1.0450 	      42
Jesperi Kotkaniemi    	CAR  	F   	12 	 15 	 27 	      1.5550 	      42
Jack Drury            	CAR  	F   	 8 	 19 	 27 	      1.5550 	      42
Anthony Mantha        	VGK  	F   	23 	 21 	 44 	      0.9420 	      41
Ryan McLeod           	EDM  	F   	12 	 18 	 30 	      1.3300 	      40
Tyler Toffoli         	WPG  	F   	33 	 22 	 55 	      0.7140 	      39
Nicolas Roy           	VGK  	F   	13 	 28 	 41 	      0.9420 	      39
Matthew Knies         	TOR  	F   	15 	 20 	 35 	      1.1020 	      39
Dakota Joshua         	VAN  	F   	18 	 14 	 32 	      1.2170 	      39
Will Cuylle           	NYR  	F   	13 	  8 	 21 	      1.8690 	      39
Blake Wheeler         	NYR  	F   	 9 	 12 	 21 	      1.8690 	      39
Ilya Mikheyev         	VAN  	F   	11 	 20 	 31 	      1.2170 	      38
Evgeny Kuznetsov      	CAR  	F   	 8 	 16 	 24 	      1.5550 	      37
Tomas Hertl           	VGK  	F   	17 	 21 	 38 	      0.9420 	      36
Artturi Lehkonen      	COL  	F   	16 	 18 	 34 	      1.0450 	      36
Pius Suter            	VAN  	F   	14 	 15 	 29 	      1.2170 	      35
Thomas Novak          	NSH  	F   	18 	 27 	 45 	      0.7510 	      34
Teodors Blueger       	VAN  	F   	 6 	 22 	 28 	      1.2170 	      34
Eetu Luostarinen      	FLA  	F   	12 	 15 	 27 	      1.2210 	      33
Nick Paul             	TBL  	F   	24 	 22 	 46 	      0.6910 	      32
Anthony Cirelli       	TBL  	F   	20 	 25 	 45 	      0.6910 	      31
Jake DeBrusk          	BOS  	F   	19 	 21 	 40 	      0.7490 	      30
Trent Frederic        	BOS  	F   	18 	 22 	 40 	      0.7490 	      30
Nick Robertson        	TOR  	F   	14 	 13 	 27 	      1.1020 	      30
Anthony Duclair       	TBL  	F   	24 	 18 	 42 	      0.6910 	      29
Morgan Geekie         	BOS  	F   	17 	 22 	 39 	      0.7490 	      29
Luke Evangelista      	NSH  	F   	16 	 23 	 39 	      0.7510 	      29
Sam Lafferty          	VAN  	F   	13 	 11 	 24 	      1.2170 	      29
Corey Perry           	EDM  	F   	12 	 10 	 22 	      1.3300 	      29
James van Riemsdyk    	BOS  	F   	11 	 27 	 38 	      0.7490 	      28
Cole Perfetti         	WPG  	F   	19 	 19 	 38 	      0.7140 	      27
Danton Heinen         	BOS  	F   	17 	 19 	 36 	      0.7490 	      27
Miles Wood            	COL  	F   	 9 	 17 	 26 	      1.0450 	      27
Kyle Okposo           	FLA  	F   	12 	 10 	 22 	      1.2210 	      27
Vladislav Namestnikov 	WPG  	F   	11 	 26 	 37 	      0.7140 	      26
Gabriel Vilardi       	WPG  	F   	22 	 14 	 36 	      0.7140 	      26
Mason Appleton        	WPG  	F   	14 	 22 	 36 	      0.7140 	      26
Colton Sissons        	NSH  	F   	15 	 20 	 35 	      0.7510 	      26
Logan O'Connor        	COL  	F   	13 	 12 	 25 	      1.0450 	      26
Bobby McMann          	TOR  	F   	15 	  9 	 24 	      1.1020 	      26
Sam Steel             	DAL  	F   	 9 	 15 	 24 	      1.0670 	      26
Adam Lowry            	WPG  	F   	12 	 23 	 35 	      0.7140 	      25
Mike Amadio           	VGK  	F   	14 	 13 	 27 	      0.9420 	      25
Evgeny Dadonov        	DAL  	F   	12 	 11 	 23 	      1.0670 	      25
Nino Niederreiter     	WPG  	F   	18 	 16 	 34 	      0.7140 	      24
Jason Zucker          	NSH  	F   	14 	 18 	 32 	      0.7510 	      24
Paul Cotter           	VGK  	F   	 7 	 18 	 25 	      0.9420 	      24
Ryan Johansen         	COL  	F   	13 	 10 	 23 	      1.0450 	      24
Pavel Dorofeyev       	VGK  	F   	13 	 11 	 24 	      0.9420 	      23
Calle Järnkrok        	TOR  	F   	10 	 11 	 21 	      1.1020 	      23
Craig Smith           	DAL  	F   	11 	  9 	 20 	      1.0670 	      21
Kiefer Sherwood       	NSH  	F   	10 	 17 	 27 	      0.7510 	      20
Alex Iafallo          	WPG  	F   	11 	 16 	 27 	      0.7140 	      19
Michael Eyssimont     	TBL  	F   	11 	 14 	 25 	      0.6910 	      17
Cole Smith            	NSH  	F   	 9 	 14 	 23 	      0.7510 	      17
Michael McCarron      	NSH  	F   	12 	 10 	 22 	      0.7510 	      17
Philip Tomasino       	NSH  	F   	 7 	 13 	 20 	      0.7510 	      15
